"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"	
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
1,741.7	83.1932	1,741.7	80.8987	1,741.7	84.1031	1,741.7	79.5123	1,741.7	70.4735	1,741.7	81.3947
1,803.22	82.0511	1,803.22	79.5588	1,803.22	84.2244	1,803.22	79.3645	1,803.22	71.103	1,803.22	80.8955
1,866.21	82.3004	1,866.21	78.5591	1,866.21	83.7861	1,866.21	79.4098	1,866.21	71.4053	1,866.21	80.6583
1,932.13	81.4055	1,932.13	75.8722	1,932.13	82.4155	1,932.13	79.18	1,932.13	69.0648	1,932.13	79.4658
1,999.51	81.1484	1,999.51	75.4929	1,999.51	81.6095	1,999.51	78.6705	1,999.51	68.7754	1,999.51	78.9401
2,069.82	80.1631	2,069.82	74.4705	2,069.82	81.5511	2,069.82	78.7511	2,069.82	67.9784	2,069.82	78.5252
2,143.07	80.484	2,143.07	71.7717	2,143.07	81.9508	2,143.07	78.9315	2,143.07	67.8602	2,143.07	78.6668
2,219.24	79.6874	2,219.24	67.8605	2,219.24	81.6152	2,219.24	78.74	2,219.24	68.0563	2,219.24	78.1348
2,296.88	78.8352	2,296.88	68.1086	2,296.88	80.8029	2,296.88	78.2319	2,296.88	67.7265	2,296.88	77.4152
2,378.91	79.8241	2,378.91	71.2534	2,378.91	80.5377	2,378.91	78.1008	2,378.91	67.7003	2,378.91	77.6793
