"Contour Plot"		
""		
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa)"	"Theta / deg"
5,115.23	37.5516	-180
5,121.09	37.8545	-180
5,126.95	38.2236	-180
5,132.81	38.6384	-180
5,138.67	39.08	-180
5,144.53	39.5328	-180
5,150.39	39.9847	-180
5,156.25	40.4269	-180
5,162.11	40.8536	-180
5,167.97	41.261	-180
5,173.83	41.6468	-180
5,179.69	42.01	-180
5,185.55	42.3502	-180
5,191.41	42.6677	-180
5,197.27	42.9631	-180
5,203.12	43.237	-180
5,208.98	43.4907	-180
5,214.84	43.7251	-180
5,220.7	43.9415	-180
5,226.56	44.1414	-180
5,232.42	44.3262	-180
5,238.28	44.4974	-180
5,244.14	44.6567	-180
5,250	44.8059	-180
5,255.86	44.9468	-180
5,261.72	45.0814	-180
5,267.58	45.2115	-180
5,273.44	45.3392	-180
5,279.3	45.4664	-180
5,285.16	45.595	-180
5,291.02	45.7269	-180
5,296.88	45.8636	-180
5,302.73	46.0065	-180
5,308.59	46.1569	-180
5,314.45	46.3155	-180
5,320.31	46.4829	-180
5,326.17	46.6592	-180
5,332.03	46.8444	-180
5,337.89	47.0379	-180
5,343.75	47.239	-180
5,349.61	47.4468	-180
5,355.47	47.66	-180
5,361.33	47.8773	-180
5,367.19	48.0973	-180
5,373.05	48.3185	-180
5,378.91	48.5396	-180
5,384.77	48.7592	-180
5,390.62	48.9758	-180
5,396.48	49.1882	-180
5,402.34	49.3953	-180
5,408.2	49.5961	-180
5,414.06	49.7896	-180
5,419.92	49.975	-180
5,425.78	50.1516	-180
5,431.64	50.3189	-180
5,437.5	50.4763	-180
5,443.36	50.6234	-180
5,449.22	50.76	-180
5,455.08	50.8858	-180
5,460.94	51.0007	-180
5,466.8	51.1046	-180
5,472.66	51.1976	-180
5,478.52	51.2798	-180
5,484.38	51.3515	-180
5,490.23	51.4128	-180
5,496.09	51.4641	-180
5,501.95	51.506	-180
5,507.81	51.539	-180
5,513.67	51.5636	-180
5,519.53	51.5807	-180
5,525.39	51.591	-180
5,531.25	51.5954	-180
5,537.11	51.595	-180
5,542.97	51.5909	-180
5,548.83	51.5841	-180
5,554.69	51.5759	-180
5,560.55	51.5675	-180
5,566.41	51.5601	-180
5,572.27	51.5551	-180
5,578.12	51.5537	-180
5,583.98	51.5569	-180
5,589.84	51.566	-180
5,595.7	51.5818	-180
5,601.56	51.6051	-180
5,607.42	51.6366	-180
5,613.28	51.6767	-180
5,619.14	51.7257	-180
5,625	51.7834	-180
5,630.86	51.8499	-180
5,636.72	51.9247	-180
5,642.58	52.0072	-180
5,648.44	52.0968	-180
5,654.3	52.1926	-180
5,660.16	52.2937	-180
5,666.02	52.3991	-180
5,671.88	52.5077	-180
5,677.73	52.6186	-180
5,683.59	52.7306	-180
5,689.45	52.8427	-180
5,695.31	52.9539	-180
5,701.17	53.0634	-180
5,707.03	53.1701	-180
5,712.89	53.2734	-180
5,718.75	53.3724	-180
5,724.61	53.4666	-180
5,730.47	53.5554	-180
5,736.33	53.6382	-180
5,742.19	53.7146	-180
5,748.05	53.7843	-180
5,753.91	53.8469	-180
5,759.77	53.9023	-180
5,765.62	53.9501	-180
5,771.48	53.9903	-180
5,777.34	54.0228	-180
5,783.2	54.0476	-180
5,789.06	54.0646	-180
5,794.92	54.074	-180
5,800.78	54.0758	-180
5,806.64	54.0702	-180
5,812.5	54.0573	-180
5,818.36	54.0373	-180
5,824.22	54.0105	-180
5,830.08	53.9771	-180
5,835.94	53.9375	-180
5,841.8	53.8919	-180
5,847.66	53.8408	-180
5,853.52	53.7518	-180
5,859.38	53.6889	-180
5,865.23	53.6219	-180
5,871.09	53.5848	-180
5,876.95	53.5131	-180
5,882.81	53.4387	-180
5,888.67	53.3622	-180
5,894.53	53.2842	-180
5,900.39	53.2053	-180
5,906.25	53.1262	-180
5,912.11	53.0475	-180
5,917.97	52.97	-180
5,923.83	52.8943	-180
5,929.69	52.8211	-180
5,935.55	52.7512	-180
5,941.41	52.6852	-180
