"SPL Vertical"
"On-Axis"		"10°"		"-10°"		"20°"		"-20°"		"30°"		"-30°"		"40°"		"-40°"		"50°"		"-50°"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
297.363	71.4144	297.363	71.1751	297.363	71.6123	297.363	70.9049	297.363	71.7612	297.363	70.6174	297.363	71.855	297.363	70.3297	297.363	71.8892	297.363	70.0624	297.363	71.8604
307.617	71.3475	307.617	71.1114	307.617	71.5471	307.617	70.8498	307.617	71.7015	307.617	70.577	307.617	71.804	307.617	70.3105	307.617	71.8493	307.617	70.07	307.617	71.8338
318.604	71.3584	318.604	71.0899	318.604	71.5802	318.604	70.7869	318.604	71.7469	318.604	70.4661	318.604	71.8523	318.604	70.1493	318.604	71.8918	318.604	69.8626	318.604	71.8621
329.59	71.1396	329.59	70.8892	329.59	71.3498	329.59	70.6096	329.59	71.5118	329.59	70.3157	329.59	71.6196	329.59	70.0267	329.59	71.6684	329.59	69.7658	329.59	71.6545
341.309	70.6695	341.309	70.3886	341.309	70.9022	341.309	70.0739	341.309	71.077	341.309	69.7456	341.309	71.1873	341.309	69.4303	341.309	71.2283	341.309	69.1595	341.309	71.1971
353.76	71.0957	353.76	70.7977	353.76	71.3346	353.76	70.4511	353.76	71.507	353.76	70.072	353.76	71.6079	353.76	69.6834	353.76	71.633	353.76	69.3158	353.76	71.5793
366.211	71.0388	366.211	70.7346	366.211	71.2867	366.211	70.3882	366.211	71.4688	366.211	70.0205	366.211	71.5792	366.211	69.6595	366.211	71.6141	366.211	69.3382	366.211	71.5712
378.662	70.9837	378.662	70.6477	378.662	71.2503	378.662	70.256	378.662	71.4398	378.662	69.8318	378.662	71.5481	378.662	69.4097	378.662	71.5728	378.662	69.0352	378.662	71.5126
392.578	71.0001	392.578	70.6647	392.578	71.2535	392.578	70.2547	392.578	71.4225	392.578	69.7867	392.578	71.5064	392.578	69.2911	392.578	71.5049	392.578	68.8153	392.578	71.4168
405.762	71.1858	405.762	70.8549	405.762	71.4308	405.762	70.4424	405.762	71.5885	405.762	69.9593	405.762	71.6583	405.762	69.4284	405.762	71.6385	405.762	68.8892	405.762	71.5269
420.41	71.1801	420.41	70.884	420.41	71.4003	420.41	70.5163	420.41	71.5425	420.41	70.0866	420.41	71.6046	420.41	69.6142	420.41	71.5834	420.41	69.1314	420.41	71.4745
435.059	70.9949	435.059	70.6554	435.059	71.2485	435.059	70.2372	435.059	71.4133	435.059	69.7556	435.059	71.4879	435.059	69.2396	435.059	71.4701	435.059	68.7357	435.059	71.3569
450.439	71.257	450.439	70.9118	450.439	71.5041	450.439	70.4705	450.439	71.654	450.439	69.9418	450.439	71.7076	450.439	69.3476	450.439	71.6648	450.439	68.7288	450.439	71.5231
466.553	71.307	466.553	70.9885	466.553	71.5276	466.553	70.5685	466.553	71.6553	466.553	70.0496	466.553	71.6937	466.553	69.4471	466.553	71.6433	466.553	68.798	466.553	71.5017
482.666	71.2699	482.666	70.9799	482.666	71.4625	482.666	70.5882	482.666	71.5626	482.666	70.0953	482.666	71.5735	482.666	69.5122	482.666	71.4957	482.666	68.8683	482.666	71.3261
500.244	71.4706	500.244	71.2126	500.244	71.6337	500.244	70.8507	500.244	71.7091	500.244	70.3784	500.244	71.7	500.244	69.7987	500.244	71.6045	500.244	69.1323	500.244	71.4165
517.822	71.0487	517.822	70.8271	517.822	71.188	517.822	70.5176	517.822	71.2495	517.822	70.1168	517.822	71.2348	517.822	69.6295	517.822	71.1411	517.822	69.0746	517.822	70.9621
536.133	71.2822	536.133	71.05	536.133	71.4172	536.133	70.7215	536.133	71.4535	536.133	70.298	536.133	71.3892	536.133	69.7823	536.133	71.2216	536.133	69.1849	536.133	70.9464
554.443	71.5302	554.443	71.3426	554.443	71.6283	554.443	71.0596	554.443	71.6392	554.443	70.6726	554.443	71.5613	554.443	70.1738	554.443	71.3892	554.443	69.5626	554.443	71.1141
574.219	71.2836	574.219	71.0675	574.219	71.4199	574.219	70.7756	574.219	71.4712	574.219	70.409	574.219	71.4319	574.219	69.9677	574.219	71.2965	574.219	69.4559	574.219	71.0581
594.727	72.2136	594.727	72.034	594.727	72.2914	594.727	71.7479	594.727	72.2687	594.727	71.3457	594.727	72.1452	594.727	70.8154	594.727	71.92	594.727	70.1504	594.727	71.5907
615.234	73.0549	615.234	72.88	615.234	73.1385	615.234	72.6224	615.234	73.1208	615.234	72.2841	615.234	72.9939	615.234	71.8562	615.234	72.752	615.234	71.3204	615.234	72.3903
637.207	72.6479	637.207	72.4661	637.207	72.7531	637.207	72.2242	637.207	72.7679	637.207	71.9335	637.207	72.6837	637.207	71.5908	637.207	72.4957	637.207	71.1775	637.207	72.1991
659.912	72.6883	659.912	72.4649	659.912	72.827	659.912	72.185	659.912	72.8599	659.912	71.8727	659.912	72.7763	659.912	71.5317	659.912	72.573	659.912	71.1393	659.912	72.2499
683.35	72.8862	683.35	72.6807	683.35	72.9677	683.35	72.3645	683.35	72.9217	683.35	71.9597	683.35	72.7511	683.35	71.489	683.35	72.4595	683.35	70.9651	683.35	72.0487
706.787	72.4469	706.787	72.2272	706.787	72.544	706.787	71.9127	706.787	72.5026	706.787	71.5366	706.787	72.3196	706.787	71.125	706.787	72.0023	706.787	70.6827	706.787	71.5643
731.689	72.6407	731.689	72.4382	731.689	72.6861	731.689	72.0993	731.689	72.5745	731.689	71.6665	731.689	72.3185	731.689	71.1905	731.689	71.9342	731.689	70.7024	731.689	71.4352
758.057	72.7662	758.057	72.5285	758.057	72.8331	758.057	72.1433	758.057	72.7269	758.057	71.6611	758.057	72.4564	758.057	71.1529	758.057	72.0358	758.057	70.6785	758.057	71.4793
784.424	72.3062	784.424	72.0961	784.424	72.3268	784.424	71.7088	784.424	72.1701	784.424	71.1926	784.424	71.8596	784.424	70.6276	784.424	71.4178	784.424	70.0949	784.424	70.8593
812.256	72.1421	812.256	71.9729	812.256	72.1719	812.256	71.6633	812.256	72.0686	812.256	71.2275	812.256	71.838	812.256	70.7043	812.256	71.4829	812.256	70.1508	812.256	71.0004
840.82	71.8646	840.82	71.7085	840.82	71.8418	840.82	71.3908	840.82	71.6484	840.82	70.9592	840.82	71.3103	840.82	70.487	840.82	70.8618	840.82	70.0464	840.82	70.3346
870.85	71.7814	870.85	71.6393	870.85	71.6962	870.85	71.2576	870.85	71.4141	870.85	70.6669	870.85	70.9692	870.85	69.9719	870.85	70.393	870.85	69.3515	870.85	69.7107
901.611	72.6591	901.611	72.6278	901.611	72.4562	901.611	72.3466	901.611	72.0566	901.611	71.8369	901.611	71.5126	901.611	71.1804	901.611	70.8817	901.611	70.5294	901.611	70.2136
933.105	75.2165	933.105	75.126	933.105	75.0439	933.105	74.7546	933.105	74.6329	933.105	74.0891	933.105	74.0195	933.105	73.1412	933.105	73.2446	933.105	72.0048	933.105	72.3385
966.064	75.3425	966.064	75.3477	966.064	75.0661	966.064	75.0783	966.064	74.5539	966.064	74.5571	966.064	73.8685	966.064	73.8208	966.064	73.0814	966.064	72.9153	966.064	72.2448
