* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\2-LW.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 2:39:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\2-LW.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 2-LW
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
394.535522	85.090042	17.2120
397.394501	85.138870	17.1623
400.274170	85.163467	16.8764
403.174744	85.156090	16.5659
406.096313	85.076286	16.3842
409.039062	84.983269	16.3439
412.003113	84.926704	16.5574
414.988647	84.896057	16.8768
417.995850	84.904190	17.1877
421.024811	84.929909	17.4990
424.075714	84.948738	17.7880
427.148743	84.982857	18.0363
430.244049	85.052681	18.2435
433.361786	85.139702	18.3339
436.502106	85.242126	18.1996
439.665161	85.329773	17.9360
442.851166	85.363197	17.5671
446.060242	85.368011	17.2010
449.292572	85.351440	16.9655
452.548340	85.330055	16.8253
455.827698	85.322189	16.8155
459.130798	85.329948	16.8519
462.457855	85.367989	16.8690
465.809021	85.416840	16.8442
469.184448	85.465294	16.7020
472.584381	85.502907	16.5355
476.008911	85.502945	16.4194
479.458252	85.502975	16.3362
482.932617	85.540916	16.3074
486.432159	85.589836	16.2900
489.957031	85.627991	16.2542
493.507477	85.676819	16.1813
497.083618	85.757782	16.0609
500.685699	85.849693	15.8409
504.313873	85.942085	15.4479
507.968323	86.023773	14.9358
511.649292	86.078247	14.3179
515.356934	86.110924	13.6432
519.091370	86.123306	12.9484
522.852966	86.111084	12.2841
526.641724	86.065567	11.6947
530.458008	86.001236	11.2352
534.301941	85.919388	11.0084
538.173706	85.851173	10.9171
542.073547	85.840424	10.9139
546.001648	85.850945	10.9499
549.958191	85.850853	10.9766
553.943420	85.869896	10.9442
557.957520	85.947914	10.7687
562.000671	86.023788	10.5050
566.073181	86.028206	10.1688
570.175171	86.024002	9.7953
574.306885	86.064659	9.4534
578.468567	86.110847	9.0575
582.660400	86.139557	8.5328
586.882568	86.153976	7.9133
591.135376	86.165901	7.1252
595.419006	86.127258	6.4171
599.733643	85.944481	6.0539
604.079590	85.764519	5.9161
608.456970	85.745468	6.0277
612.866089	85.763939	6.2184
617.307190	85.726425	6.2971
621.780457	85.697044	6.3469
626.286133	85.724007	6.4052
630.824463	85.763863	6.4200
635.395691	85.782379	6.3344
640.000000	85.798943	6.1995
644.637695	85.821663	6.0679
649.309021	85.850876	5.8818
654.014160	85.897591	5.5923
658.753418	85.937897	5.2244
663.527039	85.948883	4.7583
668.335205	85.938072	4.2786
673.178284	85.900093	3.8669
678.056396	85.851166	3.5131
682.969849	85.813080	3.2097
687.918945	85.764198	3.0284
692.903870	85.663017	3.0909
697.924927	85.590134	3.2415
