"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"
3,864.26	87.3676	3,864.26	85.7476	3,864.26	86.1039	3,864.26	84.1798	3,864.26	71.8168	3,864.26	85.0673
4,000.49	87.3326	4,000.49	85.7968	4,000.49	86.0608	4,000.49	83.4349	4,000.49	71.1025	4,000.49	84.9364
4,141.11	86.7818	4,141.11	85.8055	4,141.11	86.8237	4,141.11	83.6468	4,141.11	70.8495	4,141.11	85.0031
4,287.6	87.6313	4,287.6	85.8396	4,287.6	87.0758	4,287.6	84.3299	4,287.6	70.8152	4,287.6	85.4565
4,438.48	87.4262	4,438.48	85.6777	4,438.48	87.0584	4,438.48	84.4049	4,438.48	71.9783	4,438.48	85.3706
4,595.21	86.9753	4,595.21	85.3859	4,595.21	86.8639	4,595.21	84.3809	4,595.21	71.4508	4,595.21	85.0997
4,756.35	86.1305	4,756.35	85.4421	4,756.35	86.9799	4,756.35	84.543	4,756.35	71.9455	4,756.35	84.9402
4,924.8	85.7906	4,924.8	84.2325	4,924.8	87.5056	4,924.8	84.4083	4,924.8	71.3951	4,924.8	84.763
5,097.66	86.2438	5,097.66	83.8052	5,097.66	86.4761	5,097.66	84.4695	5,097.66	71.1485	5,097.66	84.4666
5,277.83	85.4065	5,277.83	82.839	5,277.83	86.0828	5,277.83	83.6129	5,277.83	71.2783	5,277.83	83.7602
5,463.87	85.6217	5,463.87	82.3333	5,463.87	86.0224	5,463.87	84.2243	5,463.87	70.8617	5,463.87	83.8485
5,657.23	85.9038	5,657.23	82.2611	5,657.23	85.521	5,657.23	83.5406	5,657.23	70.8492	5,657.23	83.6262
5,856.45	86.8956	5,856.45	82.1575	5,856.45	85.2826	5,856.45	83.3336	5,856.45	68.353	5,856.45	83.8504
6,062.99	86.7482	6,062.99	82.3325	6,062.99	85.5623	6,062.99	83.3158	6,062.99	68.0403	6,062.99	83.8915
6,276.86	86.3727	6,276.86	82.372	6,276.86	85.4151	6,276.86	83.2468	6,276.86	68.2657	6,276.86	83.7007
6,498.05	85.5796	6,498.05	81.4327	6,498.05	85.576	6,498.05	83.0378	6,498.05	68.9097	6,498.05	83.3065
6,726.56	86.1773	6,726.56	80.8574	6,726.56	86.178	6,726.56	83.6473	6,726.56	68.7013	6,726.56	83.7669
6,963.87	86.181	6,963.87	80.313	6,963.87	85.5987	6,963.87	83.2505	6,963.87	68.5745	6,963.87	83.4403
7,209.96	86.322	7,209.96	80.0951	7,209.96	86.2658	7,209.96	83.031	7,209.96	67.5468	7,209.96	83.658
7,464.84	85.8096	7,464.84	80.2183	7,464.84	86.4553	7,464.84	82.5724	7,464.84	67.7384	7,464.84	83.4832
7,727.05	85.9485	7,727.05	80.5307	7,727.05	86.1641	7,727.05	82.4948	7,727.05	66.2802	7,727.05	83.431
7,999.51	85.8537	7,999.51	80.4008	7,999.51	86.3726	7,999.51	82.3251	7,999.51	64.9073	7,999.51	83.4332
8,282.23	86.0909	8,282.23	80.3933	8,282.23	85.9866	8,282.23	81.763	8,282.23	63.611	8,282.23	83.2849
8,573.73	85.7157	8,573.73	80.7356	8,573.73	86.3374	8,573.73	81.5932	8,573.73	61.6072	8,573.73	83.2935
8,876.95	85.6557	8,876.95	80.9193	8,876.95	86.3311	8,876.95	80.7325	8,876.95	61.5156	8,876.95	83.1839
9,188.96	85.6366	9,188.96	79.1316	9,188.96	86.5408	9,188.96	81.455	9,188.96	67.106	9,188.96	83.1967
9,514.16	85.9077	9,514.16	77.856	9,514.16	85.9347	9,514.16	81.3214	9,514.16	65.8001	9,514.16	82.9328
9,849.61	85.8123	9,849.61	78.2896	9,849.61	86.0144	9,849.61	80.7775	9,849.61	64.3934	9,849.61	82.8802
10,196.8	85.9876	10,196.8	78.4837	10,196.8	86.1179	10,196.8	80.6255	10,196.8	65.6003	10,196.8	82.9915
10,555.7	85.8488	10,555.7	78.7959	10,555.7	86.2474	10,555.7	80.4364	10,555.7	62.0938	10,555.7	82.9837
10,927.7	85.611	10,927.7	79.4807	10,927.7	86.4814	10,927.7	80.2197	10,927.7	60.3813	10,927.7	83.0267
11,313	85.8209	11,313	80.625	11,313	86.7315	11,313	80.6778	11,313	61.6459	11,313	83.3726
11,712.9	86.1711	11,712.9	82.2094	11,712.9	86.988	11,712.9	81.214	11,712.9	62.7199	11,712.9	83.8537
12,126	85.9552	12,126	82.2088	12,126	87.7283	12,126	79.409	12,126	59.8773	12,126	83.9489
12,553.7	86.6002	12,553.7	81.0593	12,553.7	88.271	12,553.7	78.3451	12,553.7	56.8081	12,553.7	84.2328
12,996.1	88.0214	12,996.1	79.6113	12,996.1	88.3856	12,996.1	78.5239	12,996.1	60.3715	12,996.1	84.7343
13,454.6	87.6015	13,454.6	73.5617	13,454.6	87.6077	13,454.6	74.6591	13,454.6	61.1727	13,454.6	83.8214
13,929.2	86.2519	13,929.2	73.2498	13,929.2	87.2426	13,929.2	76.2918	13,929.2	62.1225	13,929.2	83.0844
14,419.9	82.0628	14,419.9	76.1289	14,419.9	84.9594	14,419.9	74.6604	14,419.9	59.7741	14,419.9	80.3766
14,928.2	78.6752	14,928.2	76.0471	14,928.2	81.0719	14,928.2	73.0682	14,928.2	59.1109	14,928.2	77.2104
15,455.6	68.3461	15,455.6	71.6832	15,455.6	73.2161	15,455.6	69.6202	15,455.6	57.7174	15,455.6	70.1946
16,000.5	67.7046	16,000.5	69.4352	16,000.5	76.0813	16,000.5	67.0398	16,000.5	51.2617	16,000.5	70.8228
16,564.5	70.8571	16,564.5	67.3333	16,564.5	78.7841	16,564.5	67.6505	16,564.5	52.4645	16,564.5	72.9742
17,148.9	72.8695	17,148.9	67.7618	17,148.9	80.5864	17,148.9	68.8554	17,148.9	53.314	17,148.9	74.7038
17,752.4	72.8073	17,752.4	72.4907	17,752.4	81.7998	17,752.4	72.821	17,752.4	57.452	17,752.4	76.1885
18,379.4	75.6107	18,379.4	75.295	18,379.4	82.6837	18,379.4	69.7325	18,379.4	55.4877	18,379.4	77.2511
19,026.9	75.5275	19,026.9	77.4127	19,026.9	82.6983	19,026.9	73.3701	19,026.9	54.2216	19,026.9	77.7663
19,697.8	77.7605	19,697.8	76.4536	19,697.8	80.213	19,697.8	76.1725	19,697.8	57.1932	19,697.8	77.0049
19,999.5	77.8459	19,999.5	73.4641	19,999.5	78.47	19,999.5	76.5322	19,999.5	57.9118	19,999.5	75.9994
