"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
6,062.99	87.0104	6,062.99	84.9457	6,062.99	82.0387	6,062.99	76.5768	6,062.99	48.3482	6,062.99	42.8863	6,062.99	39.9794
6,276.86	87.2381	6,276.86	85.0504	6,276.86	82.0702	6,276.86	76.6221	6,276.86	48.4077	6,276.86	42.9596	6,276.86	39.9794
6,498.05	87.4935	6,498.05	85.392	6,498.05	82.3303	6,498.05	76.982	6,498.05	48.3894	6,498.05	43.0411	6,498.05	39.9794
6,726.56	87.3942	6,726.56	85.5438	6,726.56	82.4862	6,726.56	77.3159	6,726.56	48.2074	6,726.56	43.0371	6,726.56	39.9794
6,963.87	87.2864	6,963.87	85.4705	6,963.87	82.4655	6,963.87	77.4689	6,963.87	47.981	6,963.87	42.9843	6,963.87	39.9794
7,209.96	86.9423	7,209.96	85.3238	7,209.96	82.3532	7,209.96	77.5183	7,209.96	47.7849	7,209.96	42.95	7,209.96	39.9794
7,464.84	86.4437	7,464.84	85.1538	7,464.84	82.2214	7,464.84	77.5198	7,464.84	47.6133	7,464.84	42.9118	7,464.84	39.9794
7,727.05	86.1818	7,727.05	85.1905	7,727.05	82.195	7,727.05	77.5066	7,727.05	47.6632	7,727.05	42.9749	7,727.05	39.9794
7,999.51	86.1669	7,999.51	85.3145	7,999.51	82.1842	7,999.51	77.4271	7,999.51	47.8667	7,999.51	43.1097	7,999.51	39.9794
8,282.23	86.0727	8,282.23	85.3732	8,282.23	82.136	8,282.23	77.2823	8,282.23	48.0703	8,282.23	43.2165	8,282.23	39.9794
8,573.73	86.1941	8,573.73	85.7143	8,573.73	82.3457	8,573.73	77.3958	8,573.73	48.2979	8,573.73	43.348	8,573.73	39.9794
8,876.95	86.322	8,876.95	86.0653	8,876.95	82.5897	8,876.95	77.6074	8,876.95	48.4373	8,876.95	43.455	8,876.95	39.9794
9,188.96	86.7081	9,188.96	86.3875	9,188.96	82.7883	9,188.96	77.6774	9,188.96	48.6894	9,188.96	43.5786	9,188.96	39.9794
9,514.16	86.8786	9,514.16	86.5217	9,514.16	82.8825	9,514.16	77.666	9,514.16	48.8351	9,514.16	43.6186	9,514.16	39.9794
9,849.61	87.0381	9,849.61	86.5093	9,849.61	82.859	9,849.61	77.6041	9,849.61	48.8846	9,849.61	43.6297	9,849.61	39.9794
10,196.8	87.0552	10,196.8	86.5021	10,196.8	82.8187	10,196.8	77.528	10,196.8	48.9535	10,196.8	43.6628	10,196.8	39.9794
10,555.7	87.1587	10,555.7	86.4928	10,555.7	82.6932	10,555.7	77.335	10,555.7	49.1372	10,555.7	43.779	10,555.7	39.9794
10,927.7	87.1435	10,927.7	86.3963	10,927.7	82.3096	10,927.7	76.7863	10,927.7	49.5894	10,927.7	44.0661	10,927.7	39.9794
11,313	86.9647	11,313	86.1356	11,313	81.7938	11,313	76.1153	11,313	49.9997	11,313	44.3212	11,313	39.9794
