"Fundamental + Harmonic distortion components"					
"Woofer"		"Tweeter"		"Port"	
"Frequency [Hz]"	"dB - [V]  (rms)"	"Frequency [Hz]"	"dB - [V]  (rms)"	"Frequency [Hz]"	"dB - [V]  (rms)"
124.512	106.168	604.614	92.4999	124.512	100.534
124.878	106.182	604.98	92.5005	124.878	100.485
125.244	106.195	605.347	92.5013	125.244	100.437
125.61	106.208	605.713	92.5022	125.61	100.389
125.977	106.221	606.079	92.5032	125.977	100.341
126.343	106.233	606.445	92.5042	126.343	100.293
126.709	106.246	606.812	92.5053	126.709	100.246
127.075	106.259	607.178	92.5062	127.075	100.199
127.441	106.271	607.544	92.5053	127.441	100.152
127.808	106.283	607.91	92.5058	127.808	100.105
128.174	106.295	608.276	92.5061	128.174	100.059
128.54	106.307	608.643	92.5062	128.54	100.013
128.906	106.319	609.009	92.5059	128.906	99.9667
129.272	106.33	609.375	92.5053	129.272	99.9209
129.639	106.342	609.741	92.5043	129.639	99.8753
130.005	106.353	610.107	92.5029	130.005	99.8299
130.371	106.364	610.474	92.501	130.371	99.7846
130.737	106.374	610.84	92.4985	130.737	99.7396
131.104	106.385	611.206	92.4955	131.104	99.6946
131.47	106.395	611.572	92.4919	131.47	99.6499
131.836	106.405	611.938	92.4877	131.836	99.6053
132.202	106.415	612.305	92.4829	132.202	99.561
132.568	106.425	612.671	92.4776	132.568	99.5168
132.935	106.434	613.037	92.4717	132.935	99.4728
133.301	106.444	613.403	92.4653	133.301	99.4291
133.667	106.453	613.77	92.4584	133.667	99.3856
134.033	106.462	614.136	92.4511	134.033	99.3424
134.399	106.471	614.502	92.4434	134.399	99.2995
134.766	106.479	614.868	92.4354	134.766	99.2569
135.132	106.488	615.234	92.4272	135.132	99.2146
135.498	106.496	615.601	92.4187	135.498	99.1726
135.864	106.505	615.967	92.4102	135.864	99.1309
136.23	106.517	616.333	92.4017	136.23	99.0696
136.597	106.525	616.699	92.3931	136.597	99.0288
136.963	106.533	617.065	92.3847	136.963	98.9883
137.329	106.541	617.432	92.3765	137.329	98.9482
137.695	106.548	617.798	92.3685	137.695	98.9084
138.062	106.556	618.164	92.3572	138.062	98.8689
138.428	106.564	618.53	92.3503	138.428	98.8298
138.794	106.567	618.896	92.3438	138.794	98.811
139.16	106.575	619.263	92.3376	139.16	98.7723
139.526	106.582	619.629	92.3319	139.526	98.7339
139.893	106.589	619.995	92.3265	139.893	98.6958
140.259	106.596	620.361	92.3216	140.259	98.658
140.625	106.603	620.728	92.317	140.625	98.6204
140.991	106.61	621.094	92.3128	140.991	98.5831
141.357	106.617	621.46	92.3089	141.357	98.546
141.724	106.624	621.826	92.3054	141.724	98.5091
142.09	106.631	622.192	92.3022	142.09	98.4724
142.456	106.637	622.559	92.2993	142.456	98.4358
142.822	106.644	622.925	92.2966	142.822	98.3994
143.188	106.65	623.291	92.2941	143.188	98.3631
143.555	106.656	623.657	92.2919	143.555	98.3269
143.921	106.662	624.023	92.2898	143.921	98.2908
144.287	106.668	624.39	92.2879	144.287	98.2547
144.653	106.674	624.756	92.2861	144.653	98.2185
145.02	106.679	625.122	92.2845	145.02	98.1824
145.386	106.685	625.488	92.2831	145.386	98.1461
145.752	106.69	625.854	92.2818	145.752	98.1098
146.118	106.695	626.221	92.2806	146.118	98.0732
146.484	106.7	626.587	92.2796	146.484	98.0365
146.851	106.704	626.953	92.2788	146.851	97.9995
147.217	106.708	627.319	92.2782	147.217	97.9623
147.583	106.712	627.686	92.2778	147.583	97.9247
147.949	106.716	628.052	92.2777	147.949	97.8868
148.315	106.719	628.418	92.2778	148.315	97.8484
148.682	106.722	628.784	92.2783	148.682	97.8096
149.048	106.725	629.15	92.282	149.048	97.7704
149.414	106.727	629.517	92.2828	149.414	97.7306
149.78	106.729	629.883	92.284	149.78	97.6902
150.146	106.731	630.249	92.2856	150.146	97.6493
150.513	106.733	630.615	92.2876	150.513	97.6077
150.879	106.733	630.981	92.29	150.879	97.5655
151.245	106.734	631.348	92.2928	151.245	97.5227
151.611	106.734	631.714	92.296	151.611	97.4791
151.978	106.734	632.08	92.2997	151.978	97.4349
152.344	106.734	632.446	92.3037	152.344	97.3899
152.71	106.733	632.812	92.3082	152.71	97.3442
153.076	106.731	633.179	92.313	153.076	97.2977
153.442	106.73	633.545	92.3182	153.442	97.2504
153.809	106.727	633.911	92.3236	153.809	97.2024
154.175	106.725	634.277	92.3293	154.175	97.1535
154.541	106.722	634.644	92.3353	154.541	97.1037
154.907	106.719	635.01	92.3413	154.907	97.0531
155.273	106.715	635.376	92.3475	155.273	97.0016
155.64	106.711	635.742	92.3537	155.64	96.9492
156.006	106.707	636.108	92.3598	156.006	96.8959
156.372	106.702	636.475	92.3659	156.372	96.8417
156.738	106.697	636.841	92.3718	156.738	96.7865
157.104	106.692	637.207	92.3775	157.104	96.7303
157.471	106.682	637.573	92.383	157.471	96.6433
157.837	106.676	637.939	92.3881	157.837	96.5847
158.203	106.67	638.306	92.3928	158.203	96.5252
158.569	106.663	638.672	92.3972	158.569	96.4648
158.936	106.656	639.038	92.3992	158.936	96.4034
159.302	106.648	639.404	92.4024	159.302	96.3412
159.668	106.641	639.771	92.4052	159.668	96.2782
160.034	106.637	640.137	92.4075	160.034	96.2457
160.4	106.629	640.503	92.4093	160.4	96.1817
160.767	106.621	640.869	92.4106	160.767	96.1172
161.133	106.613	641.235	92.4114	161.133	96.0521
161.499	106.605	641.602	92.4117	161.499	95.9866
161.865	106.597	641.968	92.4115	161.865	95.9209
162.231	106.59	642.334	92.4109	162.231	95.8551
162.598	106.582	642.7	92.4097	162.598	95.7892
162.964	106.574	643.066	92.4082	162.964	95.7235
163.33	106.566	643.433	92.4062	163.33	95.6581
163.696	106.559	643.799	92.4037	163.696	95.5932
164.062	106.552	644.165	92.4008	164.062	95.5289
164.429	106.545	644.531	92.3975	164.429	95.4654
164.795	106.539	644.897	92.3937	164.795	95.4029
165.161	106.533	645.264	92.3896	165.161	95.3413
165.527	106.527	645.63	92.385	165.527	95.2811
165.894	106.522	645.996	92.38	165.894	95.2221
166.26	106.517	646.362	92.3746	166.26	95.1646
166.626	106.513	646.729	92.3687	166.626	95.1086
166.992	106.509	647.095	92.3625	166.992	95.0542
167.358	106.505	647.461	92.3557	167.358	95.0015
167.725	106.502	647.827	92.3486	167.725	94.9505
168.091	106.499	648.193	92.341	168.091	94.9013
168.457	106.497	648.56	92.3329	168.457	94.8537
168.823	106.495	648.926	92.3244	168.823	94.8079
169.189	106.494	649.292	92.3155	169.189	94.7638
169.556	106.493	649.658	92.3062	169.556	94.7214
169.922	106.492	650.024	92.2964	169.922	94.6806
170.288	106.491	650.391	92.2897	170.288	94.6413
170.654	106.491	650.757	92.2794	170.654	94.6035
171.021	106.491	651.123	92.2689	171.021	94.5671
171.387	106.491	651.489	92.258	171.387	94.5321
171.753	106.491	651.855	92.2469	171.753	94.4983
172.119	106.492	652.222	92.2356	172.119	94.4657
