"CEA2034"
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
3,030.76	96.6955	3,030.76	96.9429	3,030.76	94.7864	3,030.76	91.3012	3,030.76	55.6211	3,030.76	52.1359	3,030.76	49.9794
3,137.7	96.4697	3,137.7	96.6935	3,137.7	94.6551	3,137.7	91.1899	3,137.7	55.483	3,137.7	52.0178	3,137.7	49.9794
3,249.02	95.8532	3,249.02	96.5294	3,249.02	94.5794	3,249.02	91.2448	3,249.02	55.264	3,249.02	51.9293	3,249.02	49.9794
3,363.28	95.7173	3,363.28	96.5408	3,363.28	94.4977	3,363.28	91.2402	3,363.28	55.28	3,363.28	52.0225	3,363.28	49.9794
3,481.93	96.1387	3,481.93	96.9244	3,481.93	94.9453	3,481.93	91.6465	3,481.93	55.2574	3,481.93	51.9585	3,481.93	49.9794
3,604.98	97.4028	3,604.98	97.5061	3,604.98	95.5135	3,604.98	92.2209	3,604.98	55.2646	3,604.98	51.972	3,604.98	49.9794
3,732.42	98.0701	3,732.42	98.0458	3,732.42	95.789	3,732.42	92.3031	3,732.42	55.722	3,732.42	52.2362	3,732.42	49.9794
3,864.26	97.4026	3,864.26	96.8442	3,864.26	94.8725	3,864.26	91.5143	3,864.26	55.3094	3,864.26	51.9511	3,864.26	49.9794
4,000.49	97.093	4,000.49	96.5323	4,000.49	94.462	4,000.49	91.0216	4,000.49	55.4901	4,000.49	52.0497	4,000.49	49.9794
4,141.11	97.0786	4,141.11	96.6947	4,141.11	94.7166	4,141.11	91.2455	4,141.11	55.4287	4,141.11	51.9575	4,141.11	49.9794
4,287.6	97.5478	4,287.6	96.6598	4,287.6	94.7029	4,287.6	91.2553	4,287.6	55.3839	4,287.6	51.9364	4,287.6	49.9794
4,438.48	97.8308	4,438.48	96.7586	4,438.48	94.5368	4,438.48	91.0975	4,438.48	55.6405	4,438.48	52.2012	4,438.48	49.9794
4,595.21	96.2193	4,595.21	95.7043	4,595.21	93.7181	4,595.21	90.5394	4,595.21	55.1443	4,595.21	51.9656	4,595.21	49.9794
4,756.35	97.3309	4,756.35	96.7243	4,756.35	94.6511	4,756.35	90.9956	4,756.35	55.7081	4,756.35	52.0526	4,756.35	49.9794
4,924.8	97.7224	4,924.8	96.9114	4,924.8	94.8104	4,924.8	91.013	4,924.8	55.8778	4,924.8	52.0804	4,924.8	49.9794
5,097.66	97.3697	5,097.66	96.2322	5,097.66	94.568	5,097.66	90.7256	5,097.66	55.4861	5,097.66	51.6437	5,097.66	49.9794
5,277.83	97.6873	5,277.83	96.7821	5,277.83	94.8017	5,277.83	90.8481	5,277.83	55.9134	5,277.83	51.9598	5,277.83	49.9794
5,463.87	97.2045	5,463.87	96.4322	5,463.87	94.3947	5,463.87	90.6844	5,463.87	55.7271	5,463.87	52.0168	5,463.87	49.9794
5,657.23	96.6996	5,657.23	96.0876	5,657.23	94.2897	5,657.23	90.5365	5,657.23	55.5305	5,657.23	51.7773	5,657.23	49.9794
5,856.45	96.4131	5,856.45	95.6458	5,856.45	93.871	5,856.45	90.1415	5,856.45	55.4836	5,856.45	51.7541	5,856.45	49.9794
6,062.99	96.1486	6,062.99	95.4576	6,062.99	93.4585	6,062.99	89.9465	6,062.99	55.4905	6,062.99	51.9785	6,062.99	49.9794
6,276.86	95.6992	6,276.86	95.4077	6,276.86	92.9851	6,276.86	89.4509	6,276.86	55.9361	6,276.86	52.402	6,276.86	49.9794
6,498.05	96.2801	6,498.05	95.9505	6,498.05	93.4418	6,498.05	89.6502	6,498.05	56.2797	6,498.05	52.4881	6,498.05	49.9794
6,726.56	96.1422	6,726.56	95.8693	6,726.56	93.4535	6,726.56	89.6028	6,726.56	56.2459	6,726.56	52.3952	6,726.56	49.9794
6,963.87	96.9724	6,963.87	95.7853	6,963.87	93.4072	6,963.87	89.4453	6,963.87	56.3194	6,963.87	52.3574	6,963.87	49.9794
7,209.96	96.3369	7,209.96	95.8751	7,209.96	93.5207	7,209.96	89.7517	7,209.96	56.1028	7,209.96	52.3338	7,209.96	49.9794
7,464.84	94.7742	7,464.84	95.17	7,464.84	93.069	7,464.84	89.3755	7,464.84	55.774	7,464.84	52.0805	7,464.84	49.9794
7,727.05	95.0507	7,727.05	95.2994	7,727.05	93.3571	7,727.05	89.5204	7,727.05	55.7584	7,727.05	51.9217	7,727.05	49.9794
7,999.51	94.3938	7,999.51	94.7905	7,999.51	93.1297	7,999.51	89.2797	7,999.51	55.4902	7,999.51	51.6401	7,999.51	49.9794
8,282.23	94.111	8,282.23	94.6008	8,282.23	92.9478	8,282.23	89.0902	8,282.23	55.49	8,282.23	51.6323	8,282.23	49.9794
8,573.73	93.5237	8,573.73	94.4208	8,573.73	92.5958	8,573.73	88.8326	8,573.73	55.5676	8,573.73	51.8044	8,573.73	49.9794
8,876.95	93.5636	8,876.95	94.8688	8,876.95	93.0166	8,876.95	89.0896	8,876.95	55.7585	8,876.95	51.8315	8,876.95	49.9794
9,188.96	93.4327	9,188.96	94.7085	9,188.96	92.8901	9,188.96	89.0224	9,188.96	55.6655	9,188.96	51.7978	9,188.96	49.9794
9,514.16	94.5503	9,514.16	95.2942	9,514.16	93.218	9,514.16	89.2861	9,514.16	55.9876	9,514.16	52.0556	9,514.16	49.9794
9,849.61	94.713	9,849.61	95.3296	9,849.61	93.0193	9,849.61	89.0939	9,849.61	56.2151	9,849.61	52.2897	9,849.61	49.9794
10,196.8	96.0898	10,196.8	95.8082	10,196.8	93.3896	10,196.8	89.2199	10,196.8	56.5677	10,196.8	52.398	10,196.8	49.9794
10,555.7	97.0534	10,555.7	96.246	10,555.7	93.5029	10,555.7	89.1934	10,555.7	57.032	10,555.7	52.7224	10,555.7	49.9794
10,927.7	97.9417	10,927.7	96.8817	10,927.7	93.6537	10,927.7	89.101	10,927.7	57.7601	10,927.7	53.2074	10,927.7	49.9794
11,313	98.5522	11,313	97.4288	11,313	93.7631	11,313	89.0088	11,313	58.3994	11,313	53.6451	11,313	49.9794
