* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\4-SP.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 2:53:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\4-SP.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 4-SP
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1405.964844	80.112907	-23.5898
1416.152954	79.873787	-22.9787
1426.415039	79.763985	-22.0581
1436.751465	79.704170	-21.0548
1447.162720	79.655533	-20.2126
1457.649414	79.617142	-19.4211
1468.212158	79.568237	-18.6375
1478.851440	79.530113	-17.8967
1489.567871	79.529984	-17.2249
1500.361816	79.530022	-16.6073
1511.234131	79.497620	-16.0865
1522.185059	79.443298	-15.5168
1533.215454	79.353226	-14.7590
1544.325806	79.268318	-13.8325
1555.516602	79.221481	-12.6431
1566.788574	79.223862	-11.3942
1578.142090	79.319389	-10.2688
1589.578003	79.442474	-9.2391
1601.096680	79.519592	-8.3257
1612.698975	79.616501	-7.5629
1624.385254	79.802704	-6.9825
1636.156250	79.996193	-6.6121
1648.012451	80.129280	-6.5583
1659.954590	80.225700	-6.6167
1671.983398	80.277405	-6.6126
1684.099243	80.313850	-6.5574
1696.302856	80.363708	-6.3878
1708.594971	80.421715	-6.1561
1720.976196	80.484543	-5.8506
1733.447144	80.574509	-5.6018
1746.008423	80.739395	-5.5660
1758.660645	80.900406	-5.6594
1771.404663	80.968338	-5.8764
1784.240967	81.019768	-6.1339
1797.170288	81.109291	-6.2863
1810.193359	81.216560	-6.5139
1823.310791	81.355286	-6.9836
1836.523193	81.476593	-7.5963
1849.831421	81.522774	-8.3442
1863.236084	81.533005	-9.1156
1876.737793	81.530746	-9.8027
1890.337524	81.507156	-10.3838
1904.035645	81.445129	-10.7698
1917.833008	81.392151	-11.0560
1931.730469	81.408325	-11.2871
1945.728638	81.439865	-11.5288
1959.828125	81.445992	-11.8811
1974.029907	81.446007	-12.2872
1988.334473	81.451050	-12.7277
2002.742798	81.446060	-13.1871
2017.255493	81.414841	-13.6554
2031.873291	81.371193	-14.0973
2046.597168	81.319725	-14.4450
2061.427734	81.272186	-14.7854
2076.365479	81.260262	-15.2192
2091.411865	81.229210	-15.6404
2106.566895	81.108559	-15.9795
2121.832031	80.975525	-16.2233
2137.207764	80.906189	-16.3420
2152.694824	80.836319	-16.3164
2168.294189	80.687981	-16.0541
2184.006592	80.575333	-15.7444
2199.832764	80.643219	-15.5471
2215.773682	80.725739	-15.4641
2231.830078	80.665718	-15.6185
2248.002686	80.575371	-15.8043
2264.292725	80.527679	-15.8070
2280.700684	80.488167	-15.7692
2297.227539	80.444626	-15.7610
